A分支-x86_64（二进制包名）,A分支-x86_64（二进制对应源码包名）,A分支-aarch64（二进制包名）,A分支-aarch64（二进制对应源码包名）,A分支-loongarch64（二进制包名）,A分支-loongarch64（二进制对应源码包名）,E分支-x86_64（二进制包名）,E分支-x86_64（二进制对应源码包名）,E分支-aarch64（二进制包名）,E分支-aarch64（二进制对应源码包名）,,,,,,,,,,,,,,,
abrt-console-notification,abrt,abrt-dbus,abrt,abrt-dbus,abrt,anaconda-core,anaconda,anaconda-user-help,anaconda-user-help,,,,,,,,,,,,,,,
abrt-dbus,abrt,abrt-desktop,abrt,abrt-desktop,abrt,anaconda-tui,anaconda,ansible,ansible,,,,,,,,,,,,,,,
abrt-desktop,abrt,abrt-gui,abrt,abrt-gui,abrt,anaconda-user-help,anaconda-user-help,ant,ant,,,,,,,,,,,,,,,
abrt-gui,abrt,abrt-gui-libs,abrt,abrt-gui-libs,abrt,ansible,ansible,ant-lib,ant,,,,,,,,,,,,,,,
abrt-gui-libs,abrt,abrt-libs,abrt,abrt-libs,abrt,ant,ant,anthy,anthy,,,,,,,,,,,,,,,
abrt-libs,abrt,abrt-plugin-machine-id,abrt,abrt-plugin-machine-id,abrt,ant-lib,ant,aopalliance,aopalliance,,,,,,,,,,,,,,,
abrt-plugin-machine-id,abrt,abrt-plugin-sosreport,abrt,abrt-plugin-sosreport,abrt,anthy,anthy,apache-commons-cli,apache-commons-cli,,,,,,,,,,,,,,,
abrt-plugin-sosreport,abrt,abrt-retrace-client,abrt,abrt-retrace-client,abrt,aopalliance,aopalliance,apache-commons-codec,apache-commons-codec,,,,,,,,,,,,,,,
abrt-retrace-client,abrt,abrt-tui,abrt,abrt-tui,abrt,apache-commons-cli,apache-commons-cli,apache-commons-collections,apache-commons-collections,,,,,,,,,,,,,,,
abrt-tui,abrt,accountsservice,accountsservice,accountsservice,accountsservice,apache-commons-codec,apache-commons-codec,apache-commons-daemon,apache-commons-daemon,,,,,,,,,,,,,,,
accountsservice,accountsservice,accountsservice-libs,accountsservice,accountsservice-libs,accountsservice,apache-commons-collections,apache-commons-collections,apache-commons-io,apache-commons-io,,,,,,,,,,,,,,,
accountsservice-libs,accountsservice,acl,acl,acl,acl,apache-commons-daemon,apache-commons-daemon,apache-commons-lang,apache-commons-lang,,,,,,,,,,,,,,,
acl,acl,activemq,activemq,adcli,adcli,apache-commons-io,apache-commons-io,apache-commons-lang3,apache-commons-lang3,,,,,,,,,,,,,,,
activemq,activemq,adcli,adcli,adcli-doc,adcli,apache-commons-lang,apache-commons-lang,apache-commons-logging,apache-commons-logging,,,,,,,,,,,,,,,
adcli,adcli,adcli-doc,adcli,adobe-mappings-cmap,adobe-mappings-cmap,apache-commons-lang3,apache-commons-lang3,apache-commons-net,apache-commons-net,,,,,,,,,,,,,,,
adcli-doc,adcli,adobe-mappings-cmap,adobe-mappings-cmap,adobe-mappings-cmap-deprecated,adobe-mappings-cmap,apache-commons-logging,apache-commons-logging,apcu-panel,php-pecl-apcu,,,,,,,,,,,,,,,
adobe-mappings-cmap,adobe-mappings-cmap,adobe-mappings-cmap-deprecated,adobe-mappings-cmap,adobe-mappings-pdf,adobe-mappings-pdf,apache-commons-net,apache-commons-net,apr,apr,,,,,,,,,,,,,,,
adobe-mappings-cmap-deprecated,adobe-mappings-cmap,adobe-mappings-pdf,adobe-mappings-pdf,adwaita-cursor-theme,adwaita-icon-theme,apcu-panel,php-pecl-apcu,apr-devel,apr,,,,,,,,,,,,,,,
adobe-mappings-pdf,adobe-mappings-pdf,adwaita-cursor-theme,adwaita-icon-theme,adwaita-gtk2-theme,gnome-themes-standard,apr,apr,apr-util,apr-util,,,,,,,,,,,,,,,
adoptopenjdk-8-openj9,adoptopenjdk-8-openj9,adwaita-gtk2-theme,gnome-themes-standard,adwaita-icon-theme,adwaita-icon-theme,apr-devel,apr,apr-util-devel,apr-util,,,,,,,,,,,,,,,
adwaita-cursor-theme,adwaita-icon-theme,adwaita-icon-theme,adwaita-icon-theme,aide,aide,apr-util,apr-util,arpwatch,arpwatch,,,,,,,,,,,,,,,
adwaita-gtk2-theme,gnome-themes-standard,aide,aide,alsa-lib,alsa-lib,apr-util-devel,apr-util,asciidoc,asciidoc,,,,,,,,,,,,,,,
adwaita-icon-theme,adwaita-icon-theme,alsa-lib,alsa-lib,alsa-lib-devel,alsa-lib,arpwatch,arpwatch,aspell,aspell,,,,,,,,,,,,,,,
aide,aide,alsa-lib-devel,alsa-lib,alsa-plugins-arcamav,alsa-plugins,asciidoc,asciidoc,at,at,,,,,,,,,,,,,,,
alsa-lib,alsa-lib,alsa-plugins-arcamav,alsa-plugins,alsa-plugins-maemo,alsa-plugins,aspell,aspell,at-spi2-atk,at-spi2-atk,,,,,,,,,,,,,,,
alsa-lib-devel,alsa-lib,alsa-plugins-maemo,alsa-plugins,alsa-plugins-oss,alsa-plugins,at,at,at-spi2-atk-devel,at-spi2-atk,,,,,,,,,,,,,,,
alsa-plugins-arcamav,alsa-plugins,alsa-plugins-oss,alsa-plugins,alsa-plugins-pulseaudio,alsa-plugins,at-spi2-atk,at-spi2-atk,at-spi2-core,at-spi2-core,,,,,,,,,,,,,,,
alsa-plugins-maemo,alsa-plugins,alsa-plugins-pulseaudio,alsa-plugins,alsa-plugins-samplerate,alsa-plugins,at-spi2-atk-devel,at-spi2-atk,at-spi2-core-devel,at-spi2-core,,,,,,,,,,,,,,,
alsa-plugins-oss,alsa-plugins,alsa-plugins-samplerate,alsa-plugins,alsa-plugins-speex,alsa-plugins,at-spi2-core,at-spi2-core,atinject,atinject,,,,,,,,,,,,,,,
alsa-plugins-pulseaudio,alsa-plugins,alsa-plugins-speex,alsa-plugins,alsa-plugins-upmix,alsa-plugins,at-spi2-core-devel,at-spi2-core,atk,atk,,,,,,,,,,,,,,,
alsa-plugins-samplerate,alsa-plugins,alsa-plugins-upmix,alsa-plugins,alsa-plugins-usbstream,alsa-plugins,atinject,atinject,atk-devel,atk,,,,,,,,,,,,,,,
alsa-plugins-speex,alsa-plugins,alsa-plugins-usbstream,alsa-plugins,alsa-plugins-vdownmix,alsa-plugins,atk,atk,atkmm,atkmm,,,,,,,,,,,,,,,
alsa-plugins-upmix,alsa-plugins,alsa-plugins-vdownmix,alsa-plugins,alsa-ucm,alsa-lib,atk-devel,atk,atlas,atlas,,,,,,,,,,,,,,,
alsa-plugins-usbstream,alsa-plugins,alsa-ucm,alsa-lib,alsa-utils,alsa-utils,atkmm,atkmm,attr,attr,,,,,,,,,,,,,,,
alsa-plugins-vdownmix,alsa-plugins,alsa-utils,alsa-utils,alsa-utils-alsabat,alsa-utils,atlas,atlas,audit,audit,,,,,,,,,,,,,,,
alsa-ucm,alsa-lib,alsa-utils-alsabat,alsa-utils,amanda,amanda,attr,attr,audit-libs,audit,,,,,,,,,,,,,,,
alsa-utils,alsa-utils,amanda,amanda,amanda-client,amanda,audit,audit,augeas,augeas,,,,,,,,,,,,,,,
alsa-utils-alsabat,alsa-utils,amanda-client,amanda,amanda-libs,amanda,audit-libs,audit,authselect,authselect,,,,,,,,,,,,,,,
amanda,amanda,amanda-libs,amanda,anaconda,anaconda,augeas,augeas,authselect-compat,authselect,,,,,,,,,,,,,,,
amanda-client,amanda,anaconda,anaconda,anaconda-core,anaconda,authselect,authselect,autoconf,autoconf,,,,,,,,,,,,,,,
amanda-libs,amanda,anaconda-core,anaconda,anaconda-dracut,anaconda,authselect-compat,authselect,autofs,autofs,,,,,,,,,,,,,,,
anaconda,anaconda,anaconda-dracut,anaconda,anaconda-gui,anaconda,autoconf,autoconf,autofs-help,autofs,,,,,,,,,,,,,,,
anaconda-core,anaconda,anaconda-gui,anaconda,anaconda-install-env-deps,anaconda,autofs,autofs,autogen,autogen,,,,,,,,,,,,,,,
anaconda-dracut,anaconda,anaconda-install-env-deps,anaconda,anaconda-tui,anaconda,autofs-help,autofs,automake,automake,,,,,,,,,,,,,,,
anaconda-gui,anaconda,anaconda-tui,anaconda,anaconda-user-help,anaconda-user-help,autogen,autogen,avahi,avahi,,,,,,,,,,,,,,,
